id	gender	name
2526	MALE	Agostino Carracci
2543	MALE	Alexander Kerensky
2552	MALE	Adam of Bremen
2563	MALE	Arthur Phillip
2575	MALE	AndrÃ© the Giant
2607	MALE	Antoine Thomson d'Abbadie
2608	MALE	Abba Mari
2613	MALE	George Abbot (bishop)
2674	MALE	Abd al-Latif al-Baghdadi (medieval writer)
2679	MALE	Abd ar-Rahman IV
2695	MALE	Abdur Rahman Khan
2705	FEMALE	Amy Grant
2707	MALE	Arthur William Ã  Beckett
2722	MALE	Anders Celsius
2723	MALE	Adam Carolla
2729	MALE	Arthur J. Stone
2758	MALE	Aelbert Cuyp
2786	MALE	Andrei Sakharov
2812	MALE	Aron Nimzowitsch
2847	FEMALE	Aung San Suu Kyi
2851	MALE	Abraham Joshua Heschel
2865	MALE	Andrzej Sapkowski
2868	FEMALE	Amanda Hesser
2875	MALE	Archduke Charles, Duke of Teschen
2877	MALE	Augustine of Canterbury
2881	MALE	Alexander of Hales
2893	MALE	Alex Lifeson
2907	MALE	Axayacatl
2911	MALE	Amr Diab
2919	FEMALE	AnaÃ¯s Nin
2944	MALE	Ariel Sharon
2948	MALE	Agner Krarup Erlang
2999	MALE	Arthur Laurents
3003	MALE	Adrian Lamo
3010	MALE	Alan Jay Lerner
3012	MALE	Al Capp
3013	FEMALE	Ann Druyan
3017	MALE	Alexey Pajitnov
3029	MALE	Arthur Jensen
3075	MALE	Albert Brooks
3089	FEMALE	Angela Vincent
3092	MALE	Akira Toriyama
3110	MALE	Andrew S. Tanenbaum
3117	MALE	Abu Zubaydah
3132	MALE	Adolphe Sax
3192	MALE	Adin Steinsaltz
3198	MALE	A. E. Housman
3212	MALE	Al Capone
3221	MALE	Ahmed al-Nami
3222	MALE	Ahmed al-Haznawi
3235	MALE	Albert Frederick, Duke of Prussia
3269	MALE	Anthony of Saxony
3270	MALE	Albert III, Duke of Saxony
3273	MALE	Arlo Guthrie
3355	MALE	Benjamin Lee Whorf
3356	MALE	Bill Clinton
3382	FEMALE	Britney Spears
3395	MALE	Gautama Buddha
3408	MALE	Baruch Spinoza
3713	MALE	Bjarne Stroustrup
3740	MALE	BjÃ¶rn Ulvaeus
3741	MALE	Benny Andersson
3747	MALE	Bill Gates
3780	MALE	Bal Thackeray
3785	MALE	Bille August
3838	MALE	Bruce Sterling
3841	MALE	Bud Spencer
3845	FEMALE	Brigitte Bardot
3869	MALE	Bruce Perens
3874	MALE	Herman Boerhaave
3875	MALE	Benjamin Disraeli
3965	MALE	Bill Joy
3984	MALE	Bernie Federko
3986	MALE	Benjamin Franklin
3992	MALE	Bram Stoker
3999	MALE	Benoit Mandelbrot
4001	MALE	Benedict of Nursia
4010	MALE	Bing Crosby
4031	MALE	Buckminster Fuller
4032	MALE	Bill Watterson
4041	MALE	Bede
4051	MALE	Brian Kernighan
4059	MALE	Bob Hawke
4068	MALE	Blaise Pascal
4091	MALE	Bartolomeo Ammannati
4093	MALE	Bertrand Andrieu
4110	FEMALE	Blythe Danner
4158	MALE	Bill Atkinson
4163	MALE	Bertrand Russell
4166	MALE	Bill Walsh (American football coach)
4173	MALE	Babe Ruth
4178	MALE	Bill Schelter
4182	FEMALE	Berry Berenson
4188	MALE	Brion Gysin
4195	FEMALE	Barbara Olson
4203	MALE	Bernardino Ochino
4216	MALE	Brian De Palma
4224	MALE	Bobby Charlton
4233	FEMALE	Berthe Morisot
4241	MALE	Bayezid I
4366	MALE	Blind Blake
4367	MALE	Brian Lara
4375	MALE	Barry Bonds
4408	MALE	Buddy Holly
4445	MALE	Bob Frankston
4463	MALE	Babrak Karmal
4471	MALE	Billy Bob Thornton
4481	FEMALE	Beatrix Potter
4517	MALE	Boudica
4537	MALE	Burt Lancaster
4544	MALE	Blind Willie McTell
4551	MALE	Babur
4552	MALE	Bernard of Clairvaux
4561	MALE	Brian Aldiss
4569	MALE	Blind Lemon Jefferson
4572	MALE	Blackbeard
4582	MALE	Bud Selig
4601	MALE	BjÃ¶rn Borg
4611	MALE	Burhanuddin Rabbani
4622	MALE	Bill Oddie
4631	MALE	Brian Boitano
4649	MALE	Billy Crystal
4667	MALE	Boris Pasternak
4669	MALE	Bill Holbrook
4670	MALE	Bruce Campbell
4688	MALE	William M. Tweed
4692	MALE	Boston Corbett
4737	MALE	Brownie McGhee
4792	MALE	Barry Goldwater
4797	MALE	Bob Young (businessman)
4833	MALE	Bob Wills
4870	MALE	Bill Macy
4871	MALE	Bob Knight
4878	MALE	Robert Bellarmine
4892	MALE	Bert Bell
4893	MALE	Bob Costas
4904	MALE	Bill Mumy
4930	MALE	Barney Bubbles
4963	MALE	Benjamin D. Santer
4969	MALE	Bill Bixby
4980	MALE	Bohdan Khmelnytsky
5015	MALE	BjÃ¸rn Lomborg
5031	MALE	Bruno of Querfurt
5033	MALE	Bo Diddley
5034	MALE	Bela Lugosi
5048	MALE	Brigham Young
5050	MALE	Bill Bryson
5132	FEMALE	Charlize Theron
5142	MALE	Charlie Chaplin
5233	MALE	Carl Linnaeus
5314	MALE	Charlemagne
5397	MALE	Chris Morris (satirist)
5635	MALE	Christopher Columbus
5654	MALE	Caspar David Friedrich
5655	FEMALE	Courtney Love
5688	MALE	Colin Dexter
5693	MALE	Claude Shannon
5698	MALE	Charles Babbage
5706	MALE	Ã‡evik Bir
5718	MALE	Chuck D
5736	FEMALE	Catherine Coleman
5766	MALE	Clement Attlee
5769	MALE	C. S. Forester
5771	MALE	Christopher Marlowe
5790	MALE	Carlo Goldoni
5804	MALE	Charles Baudelaire
5813	MALE	C. S. Lewis
5823	MALE	Confucius
5829	MALE	Craig Charles
5884	MALE	Charles Dickens
5981	MALE	Charles Tupper
6046	MALE	Cicero
6066	MALE	Carl von Clausewitz
6091	MALE	Charles Robert Malden
6117	MALE	Charles Sanders Peirce
6125	MALE	Carl Friedrich Gauss
6139	MALE	Christoph Ludwig Agricola
6140	MALE	Claudius
6176	MALE	Cecil B. DeMille
6185	MALE	Chuck Yeager
6193	MALE	Constantin von Tischendorf
6195	MALE	Calvin Coolidge
6208	MALE	Charles Ancillon
6210	MALE	Clark Ashton Smith
6226	MALE	Claudio Monteverdi
6255	MALE	Carl Menger
6260	MALE	Claude Debussy
